Library,Line,Cohort,Chrom,Inv,Sample_Ind_N,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
192par2L,192,Parental ♂,2L,t,298,0.5142751073947708,0.4857248926052292,29091,27476,0,33,0
192par2R,192,Parental ♂,2R,NS,298,0.30246654373505194,0.697533456264948,33134,76412,0,60,0
192par3L,192,Parental ♂,3L,Ok,298,0.16915062166008754,0.8308493783399125,44093,216580,0,219,0
192par3R,192,Parental ♂,3R,K,298,0.23677797778675777,0.7632220222132422,96680,311635,0,1410,0
251par2L,251,Parental ♂,2L,t,501,0.5394996112347822,0.4605003887652178,50652,43235,0,72,0
251par2R,251,Parental ♂,2R,NS,501,0.47504378573080863,0.5249562142691914,143753,158857,0,260,0
251par3L,251,Parental ♂,3L,Ok,501,0.13667921545789222,0.8633207845421078,32857,207538,0,350,0
251par3R,251,Parental ♂,3R,K,501,0.4184580224507629,0.5815419775492371,62254,86516,0,581,0
254par2L,254,Parental ♂,2L,t,561,0.5444706026232916,0.4555293973767084,106848,89394,0,245,0
254par2R,254,Parental ♂,2R,NS,561,0.45078473354416704,0.549215266455833,160643,195720,0,325,0
254par3L,254,Parental ♂,3L,Ok,561,0.2191265843474643,0.7808734156525357,14747,52552,0,107,0
254par3R,254,Parental ♂,3R,K,561,0.384379925991347,0.615620074008653,171912,275333,0,2078,0
418par2L,418,Parental ♂,2L,t,422,0.5379770580143473,0.46202294198565275,94642,81280,0,320,0
418par2R,418,Parental ♂,2R,NS,422,0.3839684082948204,0.6160315917051796,57659,92507,0,141,0
418par3L,418,Parental ♂,3L,Ok,422,0.24037014835310977,0.7596298516468902,60549,191350,0,330,0
418par3R,418,Parental ♂,3R,K,422,0.3471874808125085,0.6528125191874915,130054,244539,0,1756,0
192emb2L,192,Embryo,2L,t,1514,0.2645022103085026,0.7354977896914974,89990,250234,0,130,0
192emb2R,192,Embryo,2R,NS,1514,0.15075844910347344,0.8492415508965265,162029,912730,0,502,0
192emb3L,192,Embryo,3L,Ok,1514,0.07926104393686886,0.9207389560631312,42471,493366,0,490,0
192emb3R,192,Embryo,3R,K,1514,0.09476931387228343,0.9052306861277166,456855,4363851,0,7377,0
251emb2L,251,Embryo,2L,t,5508,0.26168603279865554,0.7383139672013445,478187,1349144,0,614,0
251emb2R,251,Embryo,2R,NS,5508,0.22806404887129914,0.7719359511287008,1170315,3961204,0,2145,0
251emb3L,251,Embryo,3L,Ok,5508,0.16992531076517992,0.8300746892348201,605085,2955803,0,3043,0
251emb3R,251,Embryo,3R,K,5508,0.17207376809977318,0.8279262319002268,3757197,18077607,0,47994,0
254emb2L,254,Embryo,2L,t,4709,0.2590126843409828,0.7409873156590172,674734,1930289,0,1171,0
254emb2R,254,Embryo,2R,NS,4709,0.2227902022348291,0.7772097977651709,878030,3063032,0,1952,0
254emb3L,254,Embryo,3L,Ok,4709,0.06767370424337817,0.9323262957566218,239741,3302861,0,3148,0
254emb3R,254,Embryo,3R,K,4709,0.15999168592622773,0.8400083140737723,1162306,6102484,0,15526,0
418emb2L,418,Embryo,2L,t,1253,0.3114423407007428,0.6885576592992573,1743704,3855098,0,4889,0
418emb2R,418,Embryo,2R,NS,1253,0.2562338120647286,0.7437661879352714,675984,1962169,0,2648,0
418emb3L,418,Embryo,3L,Ok,1253,0.13616724283909068,0.8638327571609093,963993,6115485,0,10392,0
418emb3R,418,Embryo,3R,K,1253,0.1742584690452096,0.8257415309547904,1435099,6800363,0,21956,0
192eaf2L,192,Early ♀,2L,t,259,0.345760013177039,0.6542399868229609,12595,23832,0,28,0
192eaf2R,192,Early ♀,2R,NS,259,0.20661031581144282,0.7933896841885572,21779,83632,0,84,0
192eaf3L,192,Early ♀,3L,Ok,259,0.022423784328546234,0.9775762156714538,623,27160,0,50,0
192eaf3R,192,Early ♀,3R,K,259,0.11042695061122167,0.8895730493887783,17091,137681,0,402,0
251eaf2L,251,Early ♀,2L,t,194,0.3114466777975592,0.6885533222024408,33763,74644,0,80,0
251eaf2R,251,Early ♀,2R,NS,194,0.287165955535594,0.712834044464406,46035,114273,0,199,0
251eaf3L,251,Early ♀,3L,Ok,194,0.06988856589147287,0.9301114341085271,8078,107506,0,92,0
251eaf3R,251,Early ♀,3R,K,194,0.42595890410958903,0.574041095890411,422892,569908,0,3833,0
254eaf2L,254,Early ♀,2L,t,234,0.33634763006291346,0.6636523699370865,91313,180171,0,231,0
254eaf2R,254,Early ♀,2R,NS,234,0.2277199230201982,0.7722800769798018,37983,128814,0,55,0
254eaf3L,254,Early ♀,3L,Ok,234,0.019632544068984483,0.9803674559310155,2213,110508,0,175,0
254eaf3R,254,Early ♀,3R,K,234,0.2920708075835341,0.7079291924164659,41826,101379,0,461,0
418eaf2L,418,Early ♀,2L,t,68,0.3582924974653599,0.6417075025346402,16963,30381,0,43,0
418eaf2R,418,Early ♀,2R,NS,68,0.2871135039771258,0.7128864960228742,18878,46873,0,58,0
418eaf3L,418,Early ♀,3L,Ok,68,0.02821931049296531,0.9717806895070347,1051,36193,0,66,0
418eaf3R,418,Early ♀,3R,K,68,0.27524671311914745,0.7247532868808526,17460,45974,0,454,0
192laf2L,192,Late ♀,2L,t,272,0.3663898387884709,0.633610161211529,15000,25940,0,30,0
192laf2R,192,Late ♀,2R,NS,272,0.18155627248708858,0.8184437275129114,13675,61646,0,83,0
